Respondent ID,Assigned Persona,Profile 1,Profile 2,Profile 3,Profile 4,Profile 5,Profile 6,Profile 7,Profile 8,Profile 9
User 001,Budget Explorer,9,3,6,8,4,3,10,3,5
User 002,Time-Pressed Pro,4,9,5,3,8,4,2,9,4
User 003,Disenchanted Foodie,8,4,9,5,5,8,6,4,8
User 004,Budget Explorer,10,2,5,9,3,5,9,4,3
User 005,Time-Pressed Pro,3,10,4,5,9,5,3,10,5
User 006,Budget Explorer,8,4,7,7,2,4,8,2,4
User 007,Disenchanted Foodie,7,3,10,6,6,9,5,5,7
User 008,Time-Pressed Pro,2,8,6,4,10,3,4,8,6
User 009,Time-Pressed Pro,5,9,5,6,8,6,1,9,3
User 010,Budget Explorer,9,5,5,10,5,3,9,5,4
User 011,Disenchanted Foodie,9,5,8,7,4,7,7,6,9
User 012,Budget Explorer,10,2,6,8,3,5,10,4,5
User 013,Time-Pressed Pro,4,10,4,3,9,4,2,10,4
User 014,Disenchanted Foodie,8,4,9,4,5,10,4,3,8
User 015,Time-Pressed Pro,3,8,5,5,7,5,3,8,5
User 016,Budget Explorer,9,3,5,9,4,6,8,3,4
User 017,Disenchanted Foodie,7,5,10,5,6,8,6,5,10
User 018,Time-Pressed Pro,2,9,6,4,10,3,4,9,6
User 019,Budget Explorer,8,4,7,10,2,4,9,2,3
User 020,Time-Pressed Pro,5,10,4,6,8,4,1,10,4
User 021,Budget Explorer,10,2,5,8,5,3,10,5,5
User 022,Disenchanted Foodie,9,3,8,6,4,9,5,4,7
User 023,Disenchanted Foodie,8,4,9,7,5,7,7,6,8
User 024,Time-Pressed Pro,4,8,5,3,9,6,2,8,5
User 025,Budget Explorer,9,5,6,9,3,5,8,4,4
User 026,Disenchanted Foodie,7,5,10,4,6,10,4,3,9
User 027,Budget Explorer,8,3,5,10,4,4,9,3,3
User 028,Time-Pressed Pro,3,9,6,5,10,5,3,9,6
User 029,Time-Pressed Pro,2,10,4,4,8,3,4,10,4
User 030,Budget Explorer,10,4,7,8,2,6,10,2,5
User 031,Disenchanted Foodie,9,3,9,5,5,8,6,5,8
User 032,Time-Pressed Pro,5,8,5,6,9,4,1,8,5
User 033,Budget Explorer,8,2,5,9,5,3,8,5,4
User 034,Disenchanted Foodie,7,4,8,6,4,9,5,4,7
User 035,Time-Pressed Pro,4,9,4,3,10,6,2,9,3
User 036,Budget Explorer,9,5,6,10,3,5,9,4,5
User 037,Time-Pressed Pro,3,10,6,5,8,5,3,10,6
User 038,Disenchanted Foodie,8,3,10,4,6,7,7,6,9
User 039,Budget Explorer,10,4,5,8,4,4,10,3,4
User 040,Time-Pressed Pro,2,8,5,4,9,3,4,8,5
User 041,Disenchanted Foodie,9,5,9,7,5,10,4,3,8
User 042,Budget Explorer,8,2,7,9,2,6,8,2,3
User 043,Time-Pressed Pro,5,9,4,6,10,4,1,9,4
User 044,Time-Pressed Pro,4,10,6,3,8,5,2,10,6
User 045,Budget Explorer,9,3,5,10,5,3,9,5,5
User 046,Disenchanted Foodie,7,4,8,5,4,8,6,4,7
User 047,Budget Explorer,10,5,6,8,3,5,10,4,4
User 048,Disenchanted Foodie,8,3,10,6,6,9,5,5,9
User 049,Time-Pressed Pro,3,8,4,4,9,6,3,8,3
User 050,Time-Pressed Pro,2,9,5,5,10,4,4,9,5
User 051,Budget Explorer,9,4,7,9,4,4,8,3,4
User 052,Disenchanted Foodie,9,5,9,4,5,7,7,6,8
User 053,Budget Explorer,8,2,5,10,2,6,9,2,5
User 054,Time-Pressed Pro,5,10,6,6,8,3,1,10,6
User 055,Disenchanted Foodie,7,3,8,7,4,10,4,3,9
User 056,Budget Explorer,10,5,6,8,5,5,10,5,3
User 057,Time-Pressed Pro,4,8,4,3,9,5,2,8,4
User 058,Budget Explorer,9,4,5,9,3,3,8,4,5
User 059,Time-Pressed Pro,3,9,5,5,10,6,3,9,5
User 060,Disenchanted Foodie,8,5,10,6,6,8,6,5,7
User 061,Time-Pressed Pro,2,10,6,4,8,4,4,10,6
User 062,Budget Explorer,8,2,7,10,4,6,9,3,4
User 063,Disenchanted Foodie,9,4,9,5,5,9,5,4,8
User 064,Budget Explorer,10,3,5,8,2,4,10,2,5
User 065,Time-Pressed Pro,5,8,4,6,9,3,1,8,4
User 066,Disenchanted Foodie,7,5,8,4,4,7,7,6,9
User 067,Budget Explorer,9,4,6,9,5,5,8,5,3
User 068,Time-Pressed Pro,4,9,5,3,10,5,2,9,5
User 069,Time-Pressed Pro,3,10,6,5,8,6,3,10,6
User 070,Budget Explorer,8,5,5,10,3,3,9,4,4
User 071,Disenchanted Foodie,8,3,10,7,6,10,4,3,8
User 072,Time-Pressed Pro,2,8,4,4,9,4,4,8,4
User 073,Budget Explorer,10,2,7,8,4,6,10,3,5
User 074,Disenchanted Foodie,9,4,9,6,5,8,6,5,7
User 075,Budget Explorer,9,3,5,9,2,4,8,2,3
User 076,Time-Pressed Pro,5,9,6,6,10,3,1,9,6
User 077,Disenchanted Foodie,7,5,8,5,4,9,5,4,9
User 078,Budget Explorer,8,4,6,10,5,5,9,5,4
User 079,Time-Pressed Pro,4,10,5,3,8,5,2,10,5
User 080,Budget Explorer,10,5,5,8,3,3,10,4,5
User 081,Time-Pressed Pro,3,8,4,5,9,6,3,8,4
User 082,Disenchanted Foodie,8,2,10,4,6,7,7,6,8
User 083,Time-Pressed Pro,2,9,6,4,10,4,4,9,6
User 084,Budget Explorer,9,3,7,9,4,6,8,3,3
User 085,Disenchanted Foodie,9,4,9,7,5,10,4,3,9
User 086,Budget Explorer,8,5,5,10,2,4,9,2,4
User 087,Time-Pressed Pro,5,10,4,6,8,3,1,10,4
User 088,Disenchanted Foodie,7,3,8,6,4,8,6,5,7
User 089,Budget Explorer,10,4,6,8,5,5,10,5,5
User 090,Time-Pressed Pro,4,8,5,3,9,5,2,8,5
User 091,Budget Explorer,9,2,5,9,3,3,8,4,3
User 092,Time-Pressed Pro,3,9,6,5,10,6,3,9,6
User 093,Disenchanted Foodie,8,5,10,5,6,9,5,4,8
User 094,Time-Pressed Pro,2,10,4,4,8,4,4,10,4
User 095,Budget Explorer,8,3,7,10,4,6,9,3,5
User 096,Disenchanted Foodie,9,4,9,4,5,7,7,6,9
User 097,Budget Explorer,10,5,5,8,2,4,10,2,4
User 098,Time-Pressed Pro,5,8,6,6,9,3,1,8,6
User 099,Disenchanted Foodie,7,2,8,7,4,10,4,3,8
User 100,Budget Explorer,9,4,6,9,5,5,8,5,5
User 101,Time-Pressed Pro,4,9,4,3,10,5,2,9,4
User 102,Time-Pressed Pro,3,10,5,5,8,6,3,10,5
User 103,Budget Explorer,8,3,5,10,3,3,9,4,3
User 104,Disenchanted Foodie,8,5,10,6,6,8,6,5,7
User 105,Time-Pressed Pro,2,8,6,4,9,4,4,8,6
User 106,Budget Explorer,10,4,7,8,4,6,10,3,4
User 107,Disenchanted Foodie,9,2,9,5,5,9,5,4,9
User 108,Budget Explorer,9,5,5,9,2,4,8,2,5
User 109,Time-Pressed Pro,5,9,4,6,10,3,1,9,4
User 110,Disenchanted Foodie,7,4,8,4,4,7,7,6,8
User 111,Budget Explorer,8,3,6,10,5,5,9,5,3
User 112,Time-Pressed Pro,4,10,5,3,8,5,2,10,5
User 113,Budget Explorer,10,4,5,8,3,3,10,4,4
User 114,Time-Pressed Pro,3,8,6,5,9,6,3,8,6
User 115,Disenchanted Foodie,8,5,10,7,6,10,4,3,7
User 116,Time-Pressed Pro,2,9,4,4,10,4,4,9,4
User 117,Budget Explorer,9,2,7,9,4,6,8,3,5
User 118,Disenchanted Foodie,9,3,9,6,5,8,6,5,9
User 119,Budget Explorer,8,4,5,10,2,4,9,2,3
User 120,Time-Pressed Pro,5,10,5,6,8,3,1,10,5
User 121,Disenchanted Foodie,7,5,8,5,4,9,5,4,8
User 122,Budget Explorer,10,3,6,8,5,5,10,5,4
User 123,Time-Pressed Pro,4,8,6,3,9,5,2,8,6
User 124,Budget Explorer,9,5,5,9,3,3,8,4,5
User 125,Time-Pressed Pro,3,9,4,5,10,6,3,9,4
User 126,Disenchanted Foodie,8,4,10,4,6,7,7,6,7
User 127,Time-Pressed Pro,2,10,5,4,8,4,4,10,5
User 128,Budget Explorer,8,2,7,10,4,6,9,3,3
User 129,Disenchanted Foodie,9,5,9,7,5,10,4,3,9
User 130,Budget Explorer,10,4,5,8,2,4,10,2,4
User 131,Time-Pressed Pro,5,8,6,6,9,3,1,8,6
User 132,Disenchanted Foodie,7,3,8,6,4,8,6,5,8
User 133,Budget Explorer,9,5,6,9,5,5,8,5,5
User 134,Time-Pressed Pro,4,9,4,3,10,5,2,9,4
User 135,Time-Pressed Pro,3,10,5,5,8,6,3,10,5
User 136,Budget Explorer,8,2,5,10,3,3,9,4,3
User 137,Disenchanted Foodie,8,4,10,5,6,9,5,4,7
User 138,Time-Pressed Pro,2,8,6,4,9,4,4,8,6
User 139,Budget Explorer,10,5,7,8,4,6,10,3,4
User 140,Disenchanted Foodie,9,3,9,4,5,7,7,6,9
User 141,Budget Explorer,9,4,5,9,2,4,8,2,5
User 142,Time-Pressed Pro,5,9,4,6,10,3,1,9,4
User 143,Disenchanted Foodie,7,5,8,7,4,10,4,3,8
User 144,Budget Explorer,8,2,6,10,5,5,9,5,3
User 145,Time-Pressed Pro,4,10,5,3,8,5,2,10,5
User 146,Budget Explorer,10,4,5,8,3,3,10,4,4
User 147,Time-Pressed Pro,3,8,6,5,9,6,3,8,6
User 148,Disenchanted Foodie,8,3,10,6,6,8,6,5,7
User 149,Time-Pressed Pro,2,9,4,4,10,4,4,9,4
User 150,Budget Explorer,9,5,7,9,4,6,8,3,5
User 151,Budget Explorer,9,2,6,8,3,4,10,4,5
User 152,Time-Pressed Pro,4,9,5,3,8,5,2,9,5
User 153,Disenchanted Foodie,8,4,9,5,4,9,6,3,8
User 154,Budget Explorer,10,4,5,9,4,5,9,2,4
User 155,Time-Pressed Pro,2,10,4,5,9,6,3,10,4
User 156,Budget Explorer,8,3,7,7,2,6,8,3,3
User 157,Disenchanted Foodie,7,5,10,6,5,8,5,4,9
User 158,Time-Pressed Pro,5,8,6,4,10,4,4,8,6
User 159,Time-Pressed Pro,3,9,5,6,7,5,1,9,5
User 160,Budget Explorer,9,5,4,10,5,3,9,5,4
User 161,Disenchanted Foodie,9,4,8,6,4,7,6,5,8
User 162,Budget Explorer,10,2,6,8,5,5,10,3,5
User 163,Time-Pressed Pro,4,10,4,4,9,4,2,10,4
User 164,Disenchanted Foodie,8,4,9,5,5,10,4,4,8
User 165,Time-Pressed Pro,3,8,5,6,7,5,3,8,5
User 166,Budget Explorer,9,3,5,9,4,6,8,3,4
User 167,Disenchanted Foodie,7,5,10,6,6,8,6,5,10
User 168,Time-Pressed Pro,2,9,6,4,10,3,4,9,6
User 169,Budget Explorer,8,4,7,10,2,4,9,2,3
User 170,Time-Pressed Pro,5,10,4,6,8,4,1,10,4
User 171,Budget Explorer,10,2,5,8,5,3,10,5,5
User 172,Disenchanted Foodie,9,3,8,6,4,9,5,4,7
User 173,Disenchanted Foodie,8,4,9,7,5,7,7,6,8
User 174,Time-Pressed Pro,4,8,5,3,9,6,2,8,5
User 175,Budget Explorer,9,5,6,9,3,5,8,4,4
User 176,Disenchanted Foodie,7,5,10,4,6,10,4,3,9
User 177,Budget Explorer,8,3,5,10,4,4,9,3,3
User 178,Time-Pressed Pro,3,9,6,5,10,5,3,9,6
User 179,Time-Pressed Pro,2,10,4,4,8,3,4,10,4
User 180,Budget Explorer,10,4,7,8,2,6,10,2,5
User 181,Disenchanted Foodie,9,3,9,5,5,8,6,5,8
User 182,Time-Pressed Pro,5,8,5,6,9,4,1,8,5
User 183,Budget Explorer,8,2,5,9,5,3,8,5,4
User 184,Disenchanted Foodie,7,4,8,6,4,9,5,4,7
User 185,Time-Pressed Pro,4,9,4,3,10,6,2,9,3
User 186,Budget Explorer,9,5,6,10,3,5,9,4,5
User 187,Time-Pressed Pro,3,10,6,5,8,5,3,10,6
User 188,Disenchanted Foodie,8,3,10,4,6,7,7,6,9
User 189,Budget Explorer,10,4,5,8,4,4,10,3,4
User 190,Time-Pressed Pro,2,8,5,4,9,3,4,8,5
User 191,Disenchanted Foodie,9,5,9,7,5,10,4,3,8
User 192,Budget Explorer,8,2,7,9,2,6,8,2,3
User 193,Time-Pressed Pro,5,9,4,6,10,4,1,9,4
User 194,Time-Pressed Pro,4,10,6,3,8,5,2,10,6
User 195,Budget Explorer,9,3,5,10,5,3,9,5,5
User 196,Disenchanted Foodie,7,4,8,5,4,8,6,4,7
User 197,Budget Explorer,10,5,6,8,3,5,10,4,4
User 198,Disenchanted Foodie,8,3,10,6,6,9,5,5,9
User 199,Time-Pressed Pro,3,8,4,4,9,6,3,8,3
User 200,Time-Pressed Pro,2,9,5,5,10,4,4,9,5
User 201,Budget Explorer,9,4,7,9,4,4,8,3,4
User 202,Disenchanted Foodie,9,5,9,4,5,7,7,6,8
User 203,Budget Explorer,8,2,5,10,2,6,9,2,5
User 204,Time-Pressed Pro,5,10,6,6,8,3,1,10,6
User 205,Disenchanted Foodie,7,3,8,7,4,10,4,3,9
User 206,Budget Explorer,10,5,6,8,5,5,10,5,3
User 207,Time-Pressed Pro,4,8,4,3,9,5,2,8,4
User 208,Budget Explorer,9,4,5,9,3,3,8,4,5
User 209,Time-Pressed Pro,3,9,5,5,10,6,3,9,5
User 210,Disenchanted Foodie,8,5,10,6,6,8,6,5,7
User 211,Time-Pressed Pro,2,10,6,4,8,4,4,10,6
User 212,Budget Explorer,8,2,7,10,4,6,9,3,4
User 213,Disenchanted Foodie,9,4,9,5,5,9,5,4,8
User 214,Budget Explorer,10,3,5,8,2,4,10,2,5
User 215,Time-Pressed Pro,5,8,4,6,9,3,1,8,4
User 216,Disenchanted Foodie,7,5,8,4,4,7,7,6,9
User 217,Budget Explorer,9,4,6,9,5,5,8,5,3
User 218,Time-Pressed Pro,4,9,5,3,10,5,2,9,5
User 219,Time-Pressed Pro,3,10,6,5,8,6,3,10,6
User 220,Budget Explorer,8,5,5,10,3,3,9,4,4
User 221,Disenchanted Foodie,8,3,10,7,6,10,4,3,8
User 222,Time-Pressed Pro,2,8,4,4,9,4,4,8,4
User 223,Budget Explorer,10,2,7,8,4,6,10,3,5
User 224,Disenchanted Foodie,9,4,9,6,5,8,6,5,7
User 225,Budget Explorer,9,3,5,9,2,4,8,2,3
User 226,Time-Pressed Pro,5,9,6,6,10,3,1,9,6
User 227,Disenchanted Foodie,7,5,8,5,4,9,5,4,9
User 228,Budget Explorer,8,4,6,10,5,5,9,5,4
User 229,Time-Pressed Pro,4,10,5,3,8,5,2,10,5
User 230,Budget Explorer,10,5,5,8,3,3,10,4,5
User 231,Time-Pressed Pro,3,8,4,5,9,6,3,8,4
User 232,Disenchanted Foodie,8,2,10,4,6,7,7,6,8
User 233,Time-Pressed Pro,2,9,6,4,10,4,4,9,6
User 234,Budget Explorer,9,3,7,9,4,6,8,3,3
User 235,Disenchanted Foodie,9,4,9,7,5,10,4,3,9
User 236,Budget Explorer,8,5,5,10,2,4,9,2,4
User 237,Time-Pressed Pro,5,10,4,6,8,3,1,10,4
User 238,Disenchanted Foodie,7,3,8,6,4,8,6,5,7
User 239,Budget Explorer,10,4,6,8,5,5,10,5,5
User 240,Time-Pressed Pro,4,8,5,3,9,5,2,8,5
User 241,Budget Explorer,9,2,5,9,3,3,8,4,3
User 242,Time-Pressed Pro,3,9,6,5,10,6,3,9,6
User 243,Disenchanted Foodie,8,5,10,5,6,9,5,4,8
User 244,Time-Pressed Pro,2,10,4,4,8,4,4,10,4
User 245,Budget Explorer,8,3,7,10,4,6,9,3,5
User 246,Disenchanted Foodie,9,4,9,4,5,7,7,6,9
User 247,Budget Explorer,10,5,5,8,2,4,10,2,4
User 248,Time-Pressed Pro,5,8,6,6,9,3,1,8,6
User 249,Disenchanted Foodie,7,2,8,7,4,10,4,3,8
User 250,Budget Explorer,9,4,6,9,5,5,8,5,5
User 251,Budget Explorer,9,3,6,8,4,3,10,3,5
User 252,Time-Pressed Pro,4,9,5,3,8,4,2,9,4
User 253,Disenchanted Foodie,8,4,9,5,5,8,6,4,8
User 254,Budget Explorer,10,2,5,9,3,5,9,4,3
User 255,Time-Pressed Pro,3,10,4,5,9,5,3,10,5
User 256,Budget Explorer,8,4,7,7,2,4,8,2,4
User 257,Disenchanted Foodie,7,3,10,6,6,9,5,5,7
User 258,Time-Pressed Pro,2,8,6,4,10,3,4,8,6
User 259,Time-Pressed Pro,5,9,5,6,8,6,1,9,3
User 260,Budget Explorer,9,5,5,10,5,3,9,5,4
User 261,Disenchanted Foodie,9,5,8,7,4,7,7,6,9
User 262,Budget Explorer,10,2,6,8,3,5,10,4,5
User 263,Time-Pressed Pro,4,10,4,3,9,4,2,10,4
User 264,Disenchanted Foodie,8,4,9,4,5,10,4,3,8
User 265,Time-Pressed Pro,3,8,5,5,7,5,3,8,5
User 266,Budget Explorer,9,3,5,9,4,6,8,3,4
User 267,Disenchanted Foodie,7,5,10,5,6,8,6,5,10
User 268,Time-Pressed Pro,2,9,6,4,10,3,4,9,6
User 269,Budget Explorer,8,4,7,10,2,4,9,2,3
User 270,Time-Pressed Pro,5,10,4,6,8,4,1,10,4
User 271,Budget Explorer,10,2,5,8,5,3,10,5,5
User 272,Disenchanted Foodie,9,3,8,6,4,9,5,4,7
User 273,Disenchanted Foodie,8,4,9,7,5,7,7,6,8
User 274,Time-Pressed Pro,4,8,5,3,9,6,2,8,5
User 275,Budget Explorer,9,5,6,9,3,5,8,4,4
User 276,Disenchanted Foodie,7,5,10,4,6,10,4,3,9
User 277,Budget Explorer,8,3,5,10,4,4,9,3,3
User 278,Time-Pressed Pro,3,9,6,5,10,5,3,9,6
User 279,Time-Pressed Pro,2,10,4,4,8,3,4,10,4
User 280,Budget Explorer,10,4,7,8,2,6,10,2,5
User 281,Disenchanted Foodie,9,3,9,5,5,8,6,5,8
User 282,Time-Pressed Pro,5,8,5,6,9,4,1,8,5
User 283,Budget Explorer,8,2,5,9,5,3,8,5,4
User 284,Disenchanted Foodie,7,4,8,6,4,9,5,4,7
User 285,Time-Pressed Pro,4,9,4,3,10,6,2,9,3
User 286,Budget Explorer,9,5,6,10,3,5,9,4,5
User 287,Time-Pressed Pro,3,10,6,5,8,5,3,10,6
User 288,Disenchanted Foodie,8,3,10,4,6,7,7,6,9
User 289,Budget Explorer,10,4,5,8,4,4,10,3,4
User 290,Time-Pressed Pro,2,8,5,4,9,3,4,8,5
User 291,Disenchanted Foodie,9,5,9,7,5,10,4,3,8
User 292,Budget Explorer,8,2,7,9,2,6,8,2,3
User 293,Time-Pressed Pro,5,9,4,6,10,4,1,9,4
User 294,Time-Pressed Pro,4,10,6,3,8,5,2,10,6
User 295,Budget Explorer,9,3,5,10,5,3,9,5,5
User 296,Disenchanted Foodie,7,4,8,5,4,8,6,4,7
User 297,Budget Explorer,10,5,6,8,3,5,10,4,4
User 298,Disenchanted Foodie,8,3,10,6,6,9,5,5,9
User 299,Time-Pressed Pro,3,8,4,4,9,6,3,8,3
User 300,Time-Pressed Pro,2,9,5,5,10,4,4,9,5